ti_uid	target	indication_mesh_id	indication_mesh_term	historical_max_phase	active_max_phase	combined_max_phase	succ_p_1	succ_1_2	succ_2_3	succ_3_a	succ	minikel_support	orphan	year_launch	target_status	indication_area	gpmap_support	eQTL_support	sQTL_support	mQTL_support	pQTL_support	n_supporting_trait_gpmap	supporting_trait_gpmap	supporting_trait_name_gpmap	supporting_tissue	n_supporting_tissue	gpmap_support_rare	gpmap_support_any	gpmap_support_coloc_pairs	Brain/nervous system	Blood cell	Kidney	Muscle Skeletal	Breast Mammary Tissue	Digestive	Adipose	Plasma	Skin	Testis	Lung	Thyroid	Spleen	Heart	Ovary	Pancreas	Liver	Prostate	Uterus	Pituitary	Vagina	Bladder	gene_id	distinct_trait_categories	distinct_protein_coding_genes	genescore_gene_cut	genescore_category_cut
ABCA1-D050197	ABCA1	D050197	Atherosclerosis	""	Preclinical	Preclinical					FALSE	TRUE	FALSE		genetically supported target	cardiovascular	FALSE	FALSE	FALSE	FALSE		0	""	""	""	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	10996	4	3	(1,5]	(1,5]
ABCA1-D065626	ABCA1	D065626	Non-alcoholic Fatty Liver Disease	""	Phase III	Phase III	TRUE	TRUE	TRUE		FALSE	FALSE	FALSE		unsupported target	digestive	FALSE	FALSE	FALSE	FALSE		0	""	""	""	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	10996	4	3	(1,5]	(1,5]
ABCA4-D008268	ABCA4	D008268	Macular Degeneration	""	Preclinical	Preclinical					FALSE	TRUE	TRUE		genetically supported target	ophthalmology	FALSE	FALSE	FALSE	FALSE		0	""	""	""	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	16691	0	0	(-Inf,1]	(-Inf,1]
ABCA4-D012174	ABCA4	D012174	Retinitis Pigmentosa	Preclinical	""	Preclinical	FALSE				FALSE	TRUE	TRUE		genetically supported target	ophthalmology, congenital	FALSE	FALSE	FALSE	FALSE		0	""	""	""	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	16691	0	0	(-Inf,1]	(-Inf,1]
ABCB1-D001943	ABCB1	D001943	Breast Neoplasms	Launched	Launched	Launched	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE		unsupported target	oncology	FALSE	FALSE	FALSE	FALSE		0	""	""	""	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	1565	9	62	(15,200]	(5,15]
ABCB1-D002289	ABCB1	D002289	Carcinoma, Non-Small-Cell Lung	Launched	Launched	Launched	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE		unsupported target	oncology	FALSE	FALSE	FALSE	FALSE		0	""	""	""	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	1565	9	62	(15,200]	(5,15]
ABCB1-D007239	ABCB1	D007239	Infections	Preclinical	""	Preclinical	FALSE				FALSE	FALSE	FALSE		unsupported target	infection	FALSE	FALSE	FALSE	FALSE		0	""	""	""	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	1565	9	62	(15,200]	(5,15]
ABCB1-D008268	ABCB1	D008268	Macular Degeneration	Preclinical	""	Preclinical	FALSE				FALSE	FALSE	FALSE		unsupported target	ophthalmology	FALSE	FALSE	FALSE	FALSE		0	""	""	""	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	1565	9	62	(15,200]	(5,15]
ABCB1-D009369	ABCB1	D009369	Neoplasms	Launched	Launched	Launched	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE		unsupported target	oncology	FALSE	FALSE	FALSE	FALSE		0	""	""	""	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	1565	9	62	(15,200]	(5,15]
ABCB1-D015212	ABCB1	D015212	Inflammatory Bowel Diseases	Preclinical	""	Preclinical	FALSE				FALSE	FALSE	FALSE		unsupported target	digestive	FALSE	FALSE	FALSE	FALSE		0	""	""	""	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	1565	9	62	(15,200]	(5,15]
ABCB11-D002780	ABCB11	D002780	Cholestasis, Intrahepatic	""	Preclinical	Preclinical					FALSE	TRUE	FALSE		genetically supported target	digestive	FALSE	FALSE	FALSE	FALSE		0	""	""	""	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	1157	2	3	(1,5]	(1,5]
ABCB4-D002780	ABCB4	D002780	Cholestasis, Intrahepatic	""	Preclinical	Preclinical					FALSE	TRUE	TRUE		genetically supported target	digestive	FALSE	FALSE	FALSE	FALSE		0	""	""	""	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	90	3	0	(-Inf,1]	(1,5]
ABCC1-D001749	ABCC1	D001749	Urinary Bladder Neoplasms	Preclinical	""	Preclinical	FALSE				FALSE	FALSE	FALSE		unsupported target	oncology	FALSE	FALSE	FALSE	FALSE		0	""	""	""	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	2560	1	1	(-Inf,1]	(-Inf,1]
ABCC1-D001943	ABCC1	D001943	Breast Neoplasms	Preclinical	""	Preclinical	FALSE				FALSE	FALSE	FALSE		unsupported target	oncology	FALSE	FALSE	FALSE	FALSE		0	""	""	""	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	2560	1	1	(-Inf,1]	(-Inf,1]
ABCC1-D002289	ABCC1	D002289	Carcinoma, Non-Small-Cell Lung	Preclinical	""	Preclinical	FALSE				FALSE	FALSE	FALSE		unsupported target	oncology	FALSE	FALSE	FALSE	FALSE		0	""	""	""	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	2560	1	1	(-Inf,1]	(-Inf,1]
ABCC1-D003424	ABCC1	D003424	Crohn Disease	Phase I	""	Phase I	TRUE	FALSE			FALSE	FALSE	FALSE		unsupported target	digestive	FALSE	FALSE	FALSE	FALSE		0	""	""	""	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	2560	1	1	(-Inf,1]	(-Inf,1]
ABCC1-D005767	ABCC1	D005767	Gastrointestinal Diseases	Phase II	""	Phase II	TRUE	TRUE	FALSE		FALSE	FALSE	FALSE		unsupported target	digestive	FALSE	FALSE	FALSE	FALSE		0	""	""	""	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	2560	1	1	(-Inf,1]	(-Inf,1]
ABCC1-D006258	ABCC1	D006258	Head and Neck Neoplasms	Preclinical	""	Preclinical	FALSE				FALSE	FALSE	FALSE		unsupported target	oncology	FALSE	FALSE	FALSE	FALSE		0	""	""	""	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	2560	1	1	(-Inf,1]	(-Inf,1]
ABCC1-D007239	ABCC1	D007239	Infections	Preclinical	""	Preclinical	FALSE				FALSE	FALSE	FALSE		unsupported target	infection	FALSE	FALSE	FALSE	FALSE		0	""	""	""	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	2560	1	1	(-Inf,1]	(-Inf,1]
ABCC1-D007249	ABCC1	D007249	Inflammation	Preclinical	""	Preclinical	FALSE				FALSE	FALSE	FALSE		unsupported target	signs/symptoms	FALSE	FALSE	FALSE	FALSE		0	""	""	""	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	2560	1	1	(-Inf,1]	(-Inf,1]
ABCC1-D008107	ABCC1	D008107	Liver Diseases	Preclinical	""	Preclinical	FALSE				FALSE	FALSE	FALSE		unsupported target	digestive	FALSE	FALSE	FALSE	FALSE		0	""	""	""	0	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	2560	1	1	(-Inf,1]	(-Inf,1]
ABCC1-D008113	ABCC1	D008113	Liver Neoplasms	""	Phase II	Phase II	TRUE	TRUE			FALSE	FALSE	FALSE		unsupported target	oncology	FALSE	FALSE	FALSE	FALSE		0	""	""	""	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	2560	1	1	(-Inf,1]	(-Inf,1]
ABCC1-D008268	ABCC1	D008268	Macular Degeneration	Preclinical	""	Preclinical	FALSE				FALSE	FALSE	FALSE		unsupported target	ophthalmology	FALSE	FALSE	FALSE	FALSE		0	""	""	""	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	2560	1	1	(-Inf,1]	(-Inf,1]
