trait_common,study_name_common,trait_rare,study_name_rare
"Medication for cholesterol, blood pressure or diabetes: Blood pressure medication",ukb-b-14395,"Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones (Blood pressure medication)",ukb-wes-gb-00002482
"Medication for cholesterol, blood pressure or diabetes: Cholesterol lowering medication",ukb-b-11740,"Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones (Cholesterol lowering medication)",ukb-wes-gb-00002481
"Medication for cholesterol, blood pressure or diabetes: Insulin",ukb-b-7350,"Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones (Insulin)",ukb-wes-gb-00002483
"Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones: Hormone replacement therapy",ukb-b-8080,"Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones (Hormone replacement therapy)",ukb-wes-gb-00002484
"Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones: Oral contraceptive pill or minipill",ukb-b-9547,"Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones (Oral contraceptive pill or minipill)",ukb-wes-gb-00002485
"Medication for pain relief, constipation, heartburn: Aspirin",ukb-b-7137,"Medication for pain relief, constipation, heartburn (Aspirin)",ukb-wes-gb-00002486
"Medication for pain relief, constipation, heartburn: Ibuprofen (e.g. Nurofen)",ukb-b-8888,"Medication for pain relief, constipation, heartburn (Ibuprofen (e.g. Nurofen))",ukb-wes-gb-00002487
"Medication for pain relief, constipation, heartburn: Laxatives (e.g. Dulcolax, Senokot)",ukb-b-11461,"Medication for pain relief, constipation, heartburn (Laxatives (e.g. Dulcolax, Senokot))",ukb-wes-gb-00002490
"Medication for pain relief, constipation, heartburn: Omeprazole (e.g. Zanprol)",ukb-b-11605,"Medication for pain relief, constipation, heartburn (Omeprazole (e.g. Zanprol))",ukb-wes-gb-00002489
"Medication for pain relief, constipation, heartburn: Ranitidine (e.g. Zantac)",ukb-b-8146,"Medication for pain relief, constipation, heartburn (Ranitidine (e.g. Zantac))",ukb-wes-gb-00002488
Ongoing addiction to alcohol,ukb-d-20415,Ongoing addiction to alcohol - Yes (20415),ukb-wes-bm-00003061
"Other disorders of skin and subcutaneous tissue, not elsewhere classified",ukb-d-L12-OTHERDISSKINANDSUBCUTIS,Other disorders of skin and subcutaneous tissue not elsewhere classified (union),ukb-wes-az-00008351
"Other soft tissue disorders, not elsewhere classified",ukb-d-M13-SOFTTISSUEOTH,Other soft tissue disorders not elsewhere classified (union),ukb-wes-az-00009072
Other specific joint derangements/joint disorders,ukb-d-M13-JOINTOTH,Other specific joint derangements (union),ukb-wes-az-00008615
Overall health rating,ukb-b-6306,Overall health rating - Excellent (2178),ukb-wes-bm-00001836
Pain type(s) experienced in last month: Back pain,ukb-b-9838,Pain types experienced in last month - Back pain (6159),ukb-wes-bm-00003943
Pain type(s) experienced in last month: Facial pain,ukb-b-17107,Pain types experienced in last month - Facial pain (6159),ukb-wes-bm-00002261
Pain type(s) experienced in last month: Headache,ukb-b-12181,Pain types experienced in last month - Headache (6159),ukb-wes-bm-00002085
Pain type(s) experienced in last month: Hip pain,ukb-b-7289,Pain types experienced in last month - Hip pain (6159),ukb-wes-bm-00003249
Pain type(s) experienced in last month: Knee pain,ukb-b-16254,Pain types experienced in last month - Knee pain (6159),ukb-wes-bm-00000401
Pain type(s) experienced in last month: Neck or shoulder pain,ukb-b-18596,Pain types experienced in last month - Neck or shoulder pain (6159),ukb-wes-bm-00003202
Pain type(s) experienced in last month: Stomach or abdominal pain,ukb-b-11413,Pain types experienced in last month - Stomach or abdominal pain (6159),ukb-wes-bm-00003955
Paralytic ileus and intestinal obstruction,ukb-d-K11-ILEUS,Paralytic ileus and intestinal obstruction without hernia (union),ukb-wes-az-00008058
Previously smoked cigarettes on most/all days,ukb-d-5959,Previously smoked cigarettes on most all days - Yes (5959),ukb-wes-bm-00000967
Professional informed about depression,ukb-d-20448,Professional informed about depression - Yes (20448),ukb-wes-bm-00002055
