trait	study_name	data_type	data_format	ancestry	sample_size	num_clumped	efoTraits	study_name_collapsed	top_num_clumped
Peak expiratory flow (UKB data field 3064)	ebi-a-GCST90013995	phenotype	opengwas	EUR	374599	136	peak expiratory flow	""	TRUE
Aspartate aminotransferase levels (UKB data field 30650)	ebi-a-GCST90013996	phenotype	opengwas	EUR	388490	306	aspartate aminotransferase measurement	""	TRUE
Direct bilirubin levels (UKB data field 30660)	ebi-a-GCST90013997	phenotype	opengwas	EUR	332739	138	bilirubin measurement	""	TRUE
Urea levels (UKB data field 30670)	ebi-a-GCST90013998	phenotype	opengwas	EUR	389608	213	serum urea measurement	""	TRUE
Calcium levels (UKB data field 30680)	ebi-a-GCST90013999	phenotype	opengwas	EUR	357831	242	calcium measurement	""	TRUE
Cholesterol levels (UKB data field 30690)	ebi-a-GCST90014000	phenotype	opengwas	EUR	389864	212	total cholesterol measurement	""	TRUE
Creatinine levels (UKB data field 30700)	ebi-a-GCST90014001	phenotype	opengwas	EUR	389678	415	creatinine measurement	""	TRUE
C reactive protein levels (UKB data field 30710)	ebi-a-GCST90014002	phenotype	opengwas	EUR	389057	270	C-reactive protein measurement	""	TRUE
Cystatin C levels (UKB data field 30720)	ebi-a-GCST90014003	phenotype	opengwas	EUR	389834	409	cystatin C measurement	""	TRUE
Gamma glutamyltransferase levels (UKB data field 30730)	ebi-a-GCST90014004	phenotype	opengwas	EUR	389672	336	serum gamma-glutamyl transferase measurement	""	TRUE
Glucose levels (UKB data field 30740)	ebi-a-GCST90014005	phenotype	opengwas	EUR	357580	130	glucose measurement	""	TRUE
Glycated haemoglobin HbA1c levels (UKB data field 30750)	ebi-a-GCST90014006	phenotype	opengwas	EUR	389889	404	HbA1c measurement	""	TRUE
High density lipoprotein cholesterol levels (UKB data field 30760)	ebi-a-GCST90014007	phenotype	opengwas	EUR	357810	357	high density lipoprotein cholesterol measurement	""	TRUE
IGF 1 (UKB data field 30770)	ebi-a-GCST90014008	phenotype	opengwas	EUR	387834	441	IGF-1 measurement	""	TRUE
Phosphate levels (UKB data field 30810)	ebi-a-GCST90014010	phenotype	opengwas	EUR	357302	202	phosphate measurement	""	TRUE
Sex hormone binding globulin levels (UKB data field 30830)	ebi-a-GCST90014011	phenotype	opengwas	EUR	354620	339	sex hormone-binding globulin measurement	""	TRUE
Testosterone levels (UKB data field 30850)	ebi-a-GCST90014013	phenotype	opengwas	EUR	353805	106	testosterone measurement	""	TRUE
Triglyceride levels (UKB data field 30870)	ebi-a-GCST90014014	phenotype	opengwas	EUR	389562	312	triglyceride measurement	""	TRUE
Urate levels (UKB data field 30880)	ebi-a-GCST90014015	phenotype	opengwas	EUR	389404	318	urate measurement	""	TRUE
Vitamin D levels (UKB data field 30890)	ebi-a-GCST90014016	phenotype	opengwas	EUR	373045	85	vitamin D measurement	""	TRUE
Diastolic blood pressure automated reading (UKB data field 4079)	ebi-a-GCST90014017	phenotype	opengwas	EUR	385801	242	diastolic blood pressure	""	TRUE
Systolic blood pressure automated reading (UKB data field 4080)	ebi-a-GCST90014018	phenotype	opengwas	EUR	385798	264	systolic blood pressure	""	TRUE
Hand grip strength left (UKB data field 46)	ebi-a-GCST90014019	phenotype	opengwas	EUR	406552	161	grip strength measurement	""	TRUE
Waist circumference (UKB data field 48)	ebi-a-GCST90014020	phenotype	opengwas	EUR	407661	337	waist circumference	""	TRUE
Hip circumference (UKB data field 49)	ebi-a-GCST90014021	phenotype	opengwas	EUR	407662	398	hip circumference	""	TRUE
Bone mineral density	ebi-a-GCST90014022	phenotype	opengwas	EUR	365403	520	bone density	""	TRUE
Haemorrhoidal disease	ebi-a-GCST90014033	phenotype	opengwas	EUR	944133	93	hemorrhoid	""	TRUE
Shoulder impingement	ebi-a-GCST90014054	phenotype	opengwas	EUR	212122	0	shoulder impingement syndrome	""	TRUE
Lacunar stroke	ebi-a-GCST90014122	phenotype	opengwas	EUR	225419	3	stroke	""	TRUE
FEV1/FVC ratio x sex interaction	ebi-a-GCST90014239	phenotype	opengwas	EUR	303612	2	FEV/FVC ratio,sex interaction measurement	""	TRUE
Forced expiratory volume in 1 second x sex interaction	ebi-a-GCST90014240	phenotype	opengwas	EUR	303612	2	sex interaction measurement,forced expiratory volume	""	TRUE
Forced vital capacity x sex interaction	ebi-a-GCST90014241	phenotype	opengwas	EUR	303612	0	sex interaction measurement,vital capacity	""	TRUE
Peak expiratory flow x sex interaction	ebi-a-GCST90014242	phenotype	opengwas	EUR	303612	3	peak expiratory flow,sex interaction measurement	""	TRUE
Retinal nerve fibre layer (RNFL) thickness	ebi-a-GCST90014266	phenotype	opengwas	EUR	31434	25	retinal nerve fibre layer thickness measurement	""	TRUE
Ganglion cell inner plexiform layer (GCIPL) thickness	ebi-a-GCST90014267	phenotype	opengwas	EUR	31434	23	ganglion cell inner plexiform layer thickness measurement	""	TRUE
DNA methylation-estimated granulocyte proportions	ebi-a-GCST90014287	phenotype	opengwas	EUR	34470	2	granulocyte count	""	TRUE
DNA methylation GrimAge acceleration	ebi-a-GCST90014288	phenotype	opengwas	EUR	34467	4	aging	ebi-a-GCST90014300	FALSE
DNA methylation GrimAge acceleration	ebi-a-GCST90014300	phenotype	opengwas	EUR	34467	7	aging	ebi-a-GCST90014300	FALSE
DNA methylation Hannum age acceleration	ebi-a-GCST90014289	phenotype	opengwas	EUR	34449	9	aging	""	TRUE
Intrinsic epigenetic age acceleration	ebi-a-GCST90014290	phenotype	opengwas	EUR	34461	24	aging	ebi-a-GCST90014302	TRUE
Intrinsic epigenetic age acceleration	ebi-a-GCST90014302	phenotype	opengwas	EUR	34461	22	aging	ebi-a-GCST90014302	TRUE
DNA methylation-estimated plasminogen activator inhibitor-1 levels	ebi-a-GCST90014291	phenotype	opengwas	EUR	34448	5	plasminogen activator inhibitor 1 measurement	""	TRUE
DNA methylation PhenoAge acceleration	ebi-a-GCST90014292	phenotype	opengwas	EUR	34463	11	aging	""	TRUE
Irritable bowel syndrome	ebi-a-GCST90016564	phenotype	opengwas	EUR	486601	7	irritable bowel syndrome	""	TRUE
Liver volume	ebi-a-GCST90016666	phenotype	opengwas	EUR	32860	11	liver volume	""	TRUE
Spleen volume	ebi-a-GCST90016667	phenotype	opengwas	EUR	32860	34	spleen volume	""	TRUE
Lung volume	ebi-a-GCST90016668	phenotype	opengwas	EUR	32860	7	lung volume	""	TRUE
Pancreas volume	ebi-a-GCST90016669	phenotype	opengwas	EUR	31758	16	pancreas volume	""	TRUE
Kidney volume	ebi-a-GCST90016670	phenotype	opengwas	EUR	32860	12	kidney volume	""	TRUE
Visceral adipose tissue volume	ebi-a-GCST90016671	phenotype	opengwas	EUR	32860	5	visceral adipose tissue measurement	""	TRUE
Abdominal subcutaneous adipose tissue volume	ebi-a-GCST90016672	phenotype	opengwas	EUR	32860	2	subcutaneous adipose tissue measurement	""	TRUE
Percent liver fat	ebi-a-GCST90016673	phenotype	opengwas	EUR	32858	10	liver fat measurement	""	TRUE
Liver iron content	ebi-a-GCST90016674	phenotype	opengwas	EUR	32858	10	liver iron measurement	""	TRUE
Pancreas fat	ebi-a-GCST90016675	phenotype	opengwas	EUR	25617	9	pancreas fat measurement	""	TRUE
Pancreas iron content	ebi-a-GCST90016676	phenotype	opengwas	EUR	25617	1	iron biomarker measurement	""	TRUE
Gut microbiota abundance (class Actinobacteria id.419)	ebi-a-GCST90016908	phenotype	opengwas	EUR	14306	1	gut microbiome measurement	""	TRUE
Gut microbiota abundance (class Alphaproteobacteria id.2379)	ebi-a-GCST90016909	phenotype	opengwas	EUR	14306	0	gut microbiome measurement	""	TRUE
Gut microbiota abundance (class Bacilli id.1673)	ebi-a-GCST90016910	phenotype	opengwas	EUR	14306	0	gut microbiome measurement	""	TRUE
Gut microbiota abundance (class Bacteroidia id.912)	ebi-a-GCST90016911	phenotype	opengwas	EUR	14306	0	gut microbiome measurement	""	TRUE
Gut microbiota abundance (class Betaproteobacteria id.2867)	ebi-a-GCST90016912	phenotype	opengwas	EUR	14306	0	gut microbiome measurement	""	TRUE
Gut microbiota abundance (class Clostridia id.1859)	ebi-a-GCST90016913	phenotype	opengwas	EUR	14306	0	gut microbiome measurement	""	TRUE
Gut microbiota abundance (class Coriobacteriia id.809)	ebi-a-GCST90016914	phenotype	opengwas	EUR	14306	0	gut microbiome measurement	""	TRUE
Gut microbiota abundance (class Deltaproteobacteria id.3087)	ebi-a-GCST90016915	phenotype	opengwas	EUR	14306	0	gut microbiome measurement	""	TRUE
Gut microbiota abundance (class Erysipelotrichia id.2147)	ebi-a-GCST90016916	phenotype	opengwas	EUR	14306	0	gut microbiome measurement	""	TRUE
Gut microbiota abundance (class Gammaproteobacteria id.3303)	ebi-a-GCST90016917	phenotype	opengwas	EUR	14306	0	gut microbiome measurement	""	TRUE
Gut microbiota abundance (class Lentisphaeria id.2250)	ebi-a-GCST90016918	phenotype	opengwas	EUR	14306	0	gut microbiome measurement	""	TRUE
Gut microbiota abundance (class Melainabacteria id.1589)	ebi-a-GCST90016919	phenotype	opengwas	EUR	14306	0	gut microbiome measurement	""	TRUE
Gut microbiota abundance (class Methanobacteria id.119)	ebi-a-GCST90016920	phenotype	opengwas	EUR	14306	0	gut microbiome measurement	""	TRUE
Gut microbiota abundance (class Mollicutes id.3920)	ebi-a-GCST90016921	phenotype	opengwas	EUR	14306	0	gut microbiome measurement	""	TRUE
Gut microbiota abundance (class Negativicutes id.2164)	ebi-a-GCST90016922	phenotype	opengwas	EUR	14306	0	gut microbiome measurement	""	TRUE
Gut microbiota abundance (class Verrucomicrobiae id.4029)	ebi-a-GCST90016923	phenotype	opengwas	EUR	14306	0	gut microbiome measurement	""	TRUE
Gut microbiota abundance (family Acidaminococcaceae id.2166)	ebi-a-GCST90016924	phenotype	opengwas	EUR	14306	0	gut microbiome measurement	""	TRUE
Gut microbiota abundance (family Actinomycetaceae id.421)	ebi-a-GCST90016925	phenotype	opengwas	EUR	14306	0	gut microbiome measurement	""	TRUE
Gut microbiota abundance (family Alcaligenaceae id.2875)	ebi-a-GCST90016926	phenotype	opengwas	EUR	14306	0	gut microbiome measurement	""	TRUE
Gut microbiota abundance (family Bacteroidaceae id.917)	ebi-a-GCST90016927	phenotype	opengwas	EUR	14306	0	gut microbiome measurement	""	TRUE
Gut microbiota abundance (family Bacteroidales S24 7group id.11173)	ebi-a-GCST90016928	phenotype	opengwas	EUR	14306	0	gut microbiome measurement	""	TRUE
Gut microbiota abundance (family Bifidobacteriaceae id.433)	ebi-a-GCST90016929	phenotype	opengwas	EUR	14306	2	gut microbiome measurement	""	TRUE
Gut microbiota abundance (family Christensenellaceae id.1866)	ebi-a-GCST90016930	phenotype	opengwas	EUR	14306	0	gut microbiome measurement	""	TRUE
Gut microbiota abundance (family Clostridiaceae1 id.1869)	ebi-a-GCST90016931	phenotype	opengwas	EUR	14306	0	gut microbiome measurement	""	TRUE
Gut microbiota abundance (family Clostridiales vadin BB60 group id.11286)	ebi-a-GCST90016932	phenotype	opengwas	EUR	14306	0	gut microbiome measurement	""	TRUE
Gut microbiota abundance (family Coriobacteriaceae id.811)	ebi-a-GCST90016933	phenotype	opengwas	EUR	14306	0	gut microbiome measurement	""	TRUE
Gut microbiota abundance (family Defluviitaleaceae id.1924)	ebi-a-GCST90016934	phenotype	opengwas	EUR	14306	0	gut microbiome measurement	""	TRUE
Gut microbiota abundance (family Desulfovibrionaceae id.3169)	ebi-a-GCST90016935	phenotype	opengwas	EUR	14306	0	gut microbiome measurement	""	TRUE
Gut microbiota abundance (family Enterobacteriaceae id.3469)	ebi-a-GCST90016936	phenotype	opengwas	EUR	14306	0	gut microbiome measurement	""	TRUE
Gut microbiota abundance (family Erysipelotrichaceae id.2149)	ebi-a-GCST90016937	phenotype	opengwas	EUR	14306	0	gut microbiome measurement	""	TRUE
Gut microbiota abundance (family Family XI id.1936)	ebi-a-GCST90016938	phenotype	opengwas	EUR	14306	0	gut microbiome measurement	""	TRUE
Gut microbiota abundance (family Family XIII id.1957)	ebi-a-GCST90016939	phenotype	opengwas	EUR	14306	0	gut microbiome measurement	""	TRUE
Gut microbiota abundance (family Lachnospiraceae id.1987)	ebi-a-GCST90016940	phenotype	opengwas	EUR	14306	0	gut microbiome measurement	""	TRUE
Gut microbiota abundance (family Lactobacillaceae id.1836)	ebi-a-GCST90016941	phenotype	opengwas	EUR	14306	0	gut microbiome measurement	""	TRUE
Gut microbiota abundance (family Methanobacteriaceae id.121)	ebi-a-GCST90016942	phenotype	opengwas	EUR	14306	0	gut microbiome measurement	""	TRUE
Gut microbiota abundance (family Oxalobacteraceae id.2966)	ebi-a-GCST90016943	phenotype	opengwas	EUR	14306	1	gut microbiome measurement	""	TRUE
Gut microbiota abundance (family Pasteurellaceae id.3689)	ebi-a-GCST90016944	phenotype	opengwas	EUR	14306	0	gut microbiome measurement	""	TRUE
Gut microbiota abundance (family Peptococcaceae id.2024)	ebi-a-GCST90016945	phenotype	opengwas	EUR	14306	0	gut microbiome measurement	""	TRUE
Gut microbiota abundance (family Peptostreptococcaceae id.2042)	ebi-a-GCST90016946	phenotype	opengwas	EUR	14306	1	gut microbiome measurement	""	TRUE
Gut microbiota abundance (family Porphyromonadaceae id.943)	ebi-a-GCST90016947	phenotype	opengwas	EUR	14306	0	gut microbiome measurement	""	TRUE
Gut microbiota abundance (family Prevotellaceae id.960)	ebi-a-GCST90016948	phenotype	opengwas	EUR	14306	0	gut microbiome measurement	""	TRUE
Gut microbiota abundance (family Rhodospirillaceae id.2717)	ebi-a-GCST90016949	phenotype	opengwas	EUR	14306	0	gut microbiome measurement	""	TRUE
Gut microbiota abundance (family Rikenellaceae id.967)	ebi-a-GCST90016950	phenotype	opengwas	EUR	14306	0	gut microbiome measurement	""	TRUE
Gut microbiota abundance (family Ruminococcaceae id.2050)	ebi-a-GCST90016951	phenotype	opengwas	EUR	14306	0	gut microbiome measurement	""	TRUE
Gut microbiota abundance (family Streptococcaceae id.1850)	ebi-a-GCST90016952	phenotype	opengwas	EUR	14306	1	gut microbiome measurement	""	TRUE
Gut microbiota abundance (unknown family id.1000001214)	ebi-a-GCST90016953	phenotype	opengwas	EUR	14306	1	gut microbiome measurement	""	TRUE
Gut microbiota abundance (unknown family id.1000005471)	ebi-a-GCST90016954	phenotype	opengwas	EUR	14306	0	gut microbiome measurement	""	TRUE
Gut microbiota abundance (unknown family id.1000006161)	ebi-a-GCST90016955	phenotype	opengwas	EUR	14306	0	gut microbiome measurement	""	TRUE
Gut microbiota abundance (family Veillonellaceae id.2172)	ebi-a-GCST90016956	phenotype	opengwas	EUR	14306	0	gut microbiome measurement	""	TRUE
Gut microbiota abundance (family Verrucomicrobiaceae id.4036)	ebi-a-GCST90016957	phenotype	opengwas	EUR	14306	0	gut microbiome measurement	""	TRUE
Gut microbiota abundance (family Victivallaceae id.2255)	ebi-a-GCST90016958	phenotype	opengwas	EUR	14306	0	gut microbiome measurement	""	TRUE
Gut microbiota abundance (genus Actinomyces id.423)	ebi-a-GCST90016959	phenotype	opengwas	EUR	14306	0	gut microbiome measurement	""	TRUE
Gut microbiota abundance (genus Adlercreutzia id.812)	ebi-a-GCST90016960	phenotype	opengwas	EUR	14306	0	gut microbiome measurement	""	TRUE
Gut microbiota abundance (genus Akkermansia id.4037)	ebi-a-GCST90016961	phenotype	opengwas	EUR	14306	0	gut microbiome measurement	""	TRUE
Gut microbiota abundance (genus Alistipes id.968)	ebi-a-GCST90016962	phenotype	opengwas	EUR	14306	0	gut microbiome measurement	""	TRUE
Gut microbiota abundance (genus Allisonella id.2174)	ebi-a-GCST90016963	phenotype	opengwas	EUR	14306	1	gut microbiome measurement	""	TRUE
Gut microbiota abundance (genus Alloprevotella id.961)	ebi-a-GCST90016964	phenotype	opengwas	EUR	14306	0	gut microbiome measurement	""	TRUE
Gut microbiota abundance (genus Anaerofilum id.2053)	ebi-a-GCST90016965	phenotype	opengwas	EUR	14306	0	gut microbiome measurement	""	TRUE
Gut microbiota abundance (genus Anaerostipes id.1991)	ebi-a-GCST90016966	phenotype	opengwas	EUR	14306	0	gut microbiome measurement	""	TRUE
Gut microbiota abundance (genus Anaerotruncus id.2054)	ebi-a-GCST90016967	phenotype	opengwas	EUR	14306	0	gut microbiome measurement	""	TRUE
Gut microbiota abundance (genus Bacteroides id.918)	ebi-a-GCST90016968	phenotype	opengwas	EUR	14306	0	gut microbiome measurement	""	TRUE
Gut microbiota abundance (genus Barnesiella id.944)	ebi-a-GCST90016969	phenotype	opengwas	EUR	14306	0	gut microbiome measurement	""	TRUE
Gut microbiota abundance (genus Bifidobacterium id.436)	ebi-a-GCST90016970	phenotype	opengwas	EUR	14306	2	gut microbiome measurement	""	TRUE
Gut microbiota abundance (genus Bilophila id.3170)	ebi-a-GCST90016971	phenotype	opengwas	EUR	14306	0	gut microbiome measurement	""	TRUE
Gut microbiota abundance (genus Butyricicoccus id.2055)	ebi-a-GCST90016973	phenotype	opengwas	EUR	14306	0	gut microbiome measurement	""	TRUE
Gut microbiota abundance (genus Butyricimonas id.945)	ebi-a-GCST90016974	phenotype	opengwas	EUR	14306	0	gut microbiome measurement	""	TRUE
Gut microbiota abundance (genus Butyrivibrio id.1993)	ebi-a-GCST90016975	phenotype	opengwas	EUR	14306	0	gut microbiome measurement	""	TRUE
Gut microbiota abundance (genus Candidatus Soleaferrea id.11350)	ebi-a-GCST90016976	phenotype	opengwas	EUR	14306	1	gut microbiome measurement	""	TRUE
Gut microbiota abundance (genus Catenibacterium id.2153)	ebi-a-GCST90016977	phenotype	opengwas	EUR	14306	0	gut microbiome measurement	""	TRUE
Gut microbiota abundance (genus Christensenellaceae R 7group id.11283)	ebi-a-GCST90016978	phenotype	opengwas	EUR	14306	0	gut microbiome measurement	""	TRUE
Gut microbiota abundance (genus Clostridium innocuum group id.14397)	ebi-a-GCST90016979	phenotype	opengwas	EUR	14306	0	gut microbiome measurement	""	TRUE
Gut microbiota abundance (genus Clostridium sensustricto1 id.1873)	ebi-a-GCST90016980	phenotype	opengwas	EUR	14306	0	gut microbiome measurement	""	TRUE
Gut microbiota abundance (genus Collinsella id.815)	ebi-a-GCST90016981	phenotype	opengwas	EUR	14306	0	gut microbiome measurement	""	TRUE
Gut microbiota abundance (genus Coprobacter id.949)	ebi-a-GCST90016982	phenotype	opengwas	EUR	14306	0	gut microbiome measurement	""	TRUE
Gut microbiota abundance (genus Coprococcus1 id.11301)	ebi-a-GCST90016983	phenotype	opengwas	EUR	14306	0	gut microbiome measurement	""	TRUE
Gut microbiota abundance (genus Coprococcus2 id.11302)	ebi-a-GCST90016984	phenotype	opengwas	EUR	14306	0	gut microbiome measurement	""	TRUE
Gut microbiota abundance (genus Coprococcus3 id.11303)	ebi-a-GCST90016985	phenotype	opengwas	EUR	14306	0	gut microbiome measurement	""	TRUE
Gut microbiota abundance (genus Defluviitaleaceae UCG011 id.11287)	ebi-a-GCST90016986	phenotype	opengwas	EUR	14306	0	gut microbiome measurement	""	TRUE
Gut microbiota abundance (genus Desulfovibrio id.3173)	ebi-a-GCST90016987	phenotype	opengwas	EUR	14306	0	gut microbiome measurement	""	TRUE
Gut microbiota abundance (genus Dialister id.2183)	ebi-a-GCST90016988	phenotype	opengwas	EUR	14306	0	gut microbiome measurement	""	TRUE
Gut microbiota abundance (genus Dorea id.1997)	ebi-a-GCST90016989	phenotype	opengwas	EUR	14306	0	gut microbiome measurement	""	TRUE
Gut microbiota abundance (genus Eggerthella id.819)	ebi-a-GCST90016990	phenotype	opengwas	EUR	14306	0	gut microbiome measurement	""	TRUE
Gut microbiota abundance (genus Eisenbergiella id.11304)	ebi-a-GCST90016991	phenotype	opengwas	EUR	14306	0	gut microbiome measurement	""	TRUE
Gut microbiota abundance (genus Enterorhabdus id.820)	ebi-a-GCST90016992	phenotype	opengwas	EUR	14306	1	gut microbiome measurement	""	TRUE
Gut microbiota abundance (genus Erysipelatoclostridium id.11381)	ebi-a-GCST90016993	phenotype	opengwas	EUR	14306	1	gut microbiome measurement	""	TRUE
Gut microbiota abundance (genus Escherichia Shigella id.3504)	ebi-a-GCST90016995	phenotype	opengwas	EUR	14306	0	gut microbiome measurement	""	TRUE
Gut microbiota abundance (genus Eubacterium brachy group id.11296)	ebi-a-GCST90016996	phenotype	opengwas	EUR	14306	0	gut microbiome measurement	""	TRUE
Gut microbiota abundance (genus Eubacterium coprostanoligenes group id.11375)	ebi-a-GCST90016997	phenotype	opengwas	EUR	14306	1	gut microbiome measurement	""	TRUE
Gut microbiota abundance (genus Eubacterium eligens group id.14372)	ebi-a-GCST90016998	phenotype	opengwas	EUR	14306	0	gut microbiome measurement	""	TRUE
Gut microbiota abundance (genus Eubacterium fissicatena group id.14373)	ebi-a-GCST90016999	phenotype	opengwas	EUR	14306	0	gut microbiome measurement	""	TRUE
Gut microbiota abundance (genus Eubacterium hallii group id.11338)	ebi-a-GCST90017000	phenotype	opengwas	EUR	14306	0	gut microbiome measurement	""	TRUE
Gut microbiota abundance (genus Eubacterium nodatum group id.11297)	ebi-a-GCST90017001	phenotype	opengwas	EUR	14306	0	gut microbiome measurement	""	TRUE
Gut microbiota abundance (genus Eubacterium oxidoreducens group id.11339)	ebi-a-GCST90017002	phenotype	opengwas	EUR	14306	0	gut microbiome measurement	""	TRUE
Gut microbiota abundance (genus Eubacterium rectale group id.14374)	ebi-a-GCST90017003	phenotype	opengwas	EUR	14306	0	gut microbiome measurement	""	TRUE
Gut microbiota abundance (genus Eubacterium ruminantium group id.11340)	ebi-a-GCST90017004	phenotype	opengwas	EUR	14306	0	gut microbiome measurement	""	TRUE
Gut microbiota abundance (genus Eubacterium ventriosum group id.11341)	ebi-a-GCST90017005	phenotype	opengwas	EUR	14306	0	gut microbiome measurement	""	TRUE
Gut microbiota abundance (genus Eubacterium xylanophilum group id.14375)	ebi-a-GCST90017006	phenotype	opengwas	EUR	14306	0	gut microbiome measurement	""	TRUE
Gut microbiota abundance (genus Faecalibacterium id.2057)	ebi-a-GCST90017007	phenotype	opengwas	EUR	14306	1	gut microbiome measurement	""	TRUE
Gut microbiota abundance (genus Family XIII AD3011 group id.11293)	ebi-a-GCST90017008	phenotype	opengwas	EUR	14306	0	gut microbiome measurement	""	TRUE
Gut microbiota abundance (genus Family XIII UCG001 id.11294)	ebi-a-GCST90017009	phenotype	opengwas	EUR	14306	0	gut microbiome measurement	""	TRUE
Gut microbiota abundance (genus Flavonifractor id.2059)	ebi-a-GCST90017010	phenotype	opengwas	EUR	14306	0	gut microbiome measurement	""	TRUE
Gut microbiota abundance (genus Fusicatenibacter id.11305)	ebi-a-GCST90017011	phenotype	opengwas	EUR	14306	0	gut microbiome measurement	""	TRUE
Gut microbiota abundance (genus Gordonibacter id.821)	ebi-a-GCST90017012	phenotype	opengwas	EUR	14306	0	gut microbiome measurement	""	TRUE
Gut microbiota abundance (genus Haemophilus id.3698)	ebi-a-GCST90017013	phenotype	opengwas	EUR	14306	0	gut microbiome measurement	""	TRUE
Gut microbiota abundance (genus Holdemanella id.11393)	ebi-a-GCST90017014	phenotype	opengwas	EUR	14306	0	gut microbiome measurement	""	TRUE
Gut microbiota abundance (genus Holdemania id.2157)	ebi-a-GCST90017015	phenotype	opengwas	EUR	14306	0	gut microbiome measurement	""	TRUE
Gut microbiota abundance (genus Howardella id.2000)	ebi-a-GCST90017016	phenotype	opengwas	EUR	14306	0	gut microbiome measurement	""	TRUE
Gut microbiota abundance (genus Hungatella id.11306)	ebi-a-GCST90017017	phenotype	opengwas	EUR	14306	0	gut microbiome measurement	""	TRUE
Gut microbiota abundance (genus Intestinibacter id.11345)	ebi-a-GCST90017018	phenotype	opengwas	EUR	14306	1	gut microbiome measurement	""	TRUE
Gut microbiota abundance (genus Intestinimonas id.2062)	ebi-a-GCST90017019	phenotype	opengwas	EUR	14306	0	gut microbiome measurement	""	TRUE
Gut microbiota abundance (genus Lachnoclostridium id.11308)	ebi-a-GCST90017020	phenotype	opengwas	EUR	14306	0	gut microbiome measurement	""	TRUE
Gut microbiota abundance (genus Lachnospiraceae FCS020 group id.11314)	ebi-a-GCST90017021	phenotype	opengwas	EUR	14306	0	gut microbiome measurement	""	TRUE
Gut microbiota abundance (genus Lachnospiraceae NC2004 group id.11316)	ebi-a-GCST90017022	phenotype	opengwas	EUR	14306	0	gut microbiome measurement	""	TRUE
Gut microbiota abundance (genus Lachnospiraceae ND3007 group id.11317)	ebi-a-GCST90017023	phenotype	opengwas	EUR	14306	0	gut microbiome measurement	""	TRUE
Gut microbiota abundance (genus Lachnospiraceae NK4A136 group id.11319)	ebi-a-GCST90017024	phenotype	opengwas	EUR	14306	0	gut microbiome measurement	""	TRUE
Gut microbiota abundance (genus Lachnospiraceae UCG001 id.11321)	ebi-a-GCST90017025	phenotype	opengwas	EUR	14306	0	gut microbiome measurement	""	TRUE
Gut microbiota abundance (genus Lachnospiraceae UCG004 id.11324)	ebi-a-GCST90017026	phenotype	opengwas	EUR	14306	0	gut microbiome measurement	""	TRUE
Gut microbiota abundance (genus Lachnospiraceae UCG008 id.11328)	ebi-a-GCST90017027	phenotype	opengwas	EUR	14306	0	gut microbiome measurement	""	TRUE
Gut microbiota abundance (genus Lachnospiraceae UCG010 id.11330)	ebi-a-GCST90017028	phenotype	opengwas	EUR	14306	0	gut microbiome measurement	""	TRUE
Gut microbiota abundance (genus Lactobacillus id.1837)	ebi-a-GCST90017030	phenotype	opengwas	EUR	14306	0	gut microbiome measurement	""	TRUE
Gut microbiota abundance (genus Lactococcus id.1851)	ebi-a-GCST90017031	phenotype	opengwas	EUR	14306	0	gut microbiome measurement	""	TRUE
Gut microbiota abundance (genus Marvinbryantia id.2005)	ebi-a-GCST90017032	phenotype	opengwas	EUR	14306	0	gut microbiome measurement	""	TRUE
Gut microbiota abundance (genus Methanobrevibacter id.123)	ebi-a-GCST90017033	phenotype	opengwas	EUR	14306	0	gut microbiome measurement	""	TRUE
Gut microbiota abundance (genus Odoribacter id.952)	ebi-a-GCST90017034	phenotype	opengwas	EUR	14306	0	gut microbiome measurement	""	TRUE
Gut microbiota abundance (genus Olsenella id.822)	ebi-a-GCST90017035	phenotype	opengwas	EUR	14306	0	gut microbiome measurement	""	TRUE
Gut microbiota abundance (genus Oscillibacter id.2063)	ebi-a-GCST90017036	phenotype	opengwas	EUR	14306	0	gut microbiome measurement	""	TRUE
Gut microbiota abundance (genus Oscillospira id.2064)	ebi-a-GCST90017037	phenotype	opengwas	EUR	14306	0	gut microbiome measurement	""	TRUE
Gut microbiota abundance (genus Oxalobacter id.2978)	ebi-a-GCST90017038	phenotype	opengwas	EUR	14306	1	gut microbiome measurement	""	TRUE
Gut microbiota abundance (genus Parabacteroides id.954)	ebi-a-GCST90017039	phenotype	opengwas	EUR	14306	0	gut microbiome measurement	""	TRUE
Gut microbiota abundance (genus Paraprevotella id.962)	ebi-a-GCST90017040	phenotype	opengwas	EUR	14306	0	gut microbiome measurement	""	TRUE
Gut microbiota abundance (genus Parasutterella id.2892)	ebi-a-GCST90017041	phenotype	opengwas	EUR	14306	0	gut microbiome measurement	""	TRUE
Gut microbiota abundance (genus Peptococcus id.2037)	ebi-a-GCST90017042	phenotype	opengwas	EUR	14306	1	gut microbiome measurement	""	TRUE
Gut microbiota abundance (genus Phascolarctobacterium id.2168)	ebi-a-GCST90017043	phenotype	opengwas	EUR	14306	0	gut microbiome measurement	""	TRUE
Gut microbiota abundance (genus Prevotella7 id.11182)	ebi-a-GCST90017044	phenotype	opengwas	EUR	14306	0	gut microbiome measurement	""	TRUE
Gut microbiota abundance (genus Prevotella9 id.11183)	ebi-a-GCST90017045	phenotype	opengwas	EUR	14306	0	gut microbiome measurement	""	TRUE
