trait	study_name	data_type	data_format	ancestry	sample_size	num_clumped	efoTraits	study_name_collapsed	top_num_clumped
Interleukin-1-beta levels	ebi-a-GCST004448	phenotype	opengwas	EUR	3309	0	interleukin-1 beta measurement	""	TRUE
Hepatocyte growth factor levels	ebi-a-GCST90012045	phenotype	opengwas	EUR	21758	2	hepatocyte growth factor measurement	ebi-a-GCST004449,ebi-a-GCST90000471	FALSE
Interleukin-9 levels	ebi-a-GCST004450	phenotype	opengwas	EUR	3634	0	interleukin 9 measurement	""	TRUE
Interleukin-7 levels	ebi-a-GCST004451	phenotype	opengwas	EUR	3409	1	interleukin 7 measurement	ebi-a-GCST90000479	TRUE
Interleukin-5 levels	ebi-a-GCST004452	phenotype	opengwas	EUR	3364	1	interleukin 5 measurement	""	TRUE
Interleukin-4 levels	ebi-a-GCST004453	phenotype	opengwas	EUR	8124	0	interleukin 4 measurement	""	TRUE
Interleukin-2 receptor antagonist levels	ebi-a-GCST004454	phenotype	opengwas	EUR	3677	1	interleukin 2 receptor antagonist measurement	""	TRUE
Interleukin-2 levels	ebi-a-GCST004455	phenotype	opengwas	EUR	3475	0	interleukin 2 measurement	""	TRUE
Interferon gamma levels	ebi-a-GCST004456	phenotype	opengwas	EUR	7701	0	interferon gamma measurement	""	TRUE
Growth-regulated protein alpha levels	ebi-a-GCST004457	phenotype	opengwas	EUR	3505	2	growth-regulated alpha protein measurement	""	TRUE
Granulocyte-colony stimulating factor levels	ebi-a-GCST004458	phenotype	opengwas	EUR	7904	0	granulocyte colony-stimulating factor measurement	""	TRUE
Fibroblast growth factor basic levels	ebi-a-GCST004459	phenotype	opengwas	EUR	7565	0	fibroblast growth factor basic measurement	""	TRUE
Eotaxin levels	ebi-a-GCST004460	phenotype	opengwas	EUR	8153	4	eotaxin measurement	""	TRUE
Insulin secretion rate	ebi-a-GCST004488	phenotype	opengwas	EUR	527	0	insulin secretion measurement	""	TRUE
Acute insulin response	ebi-a-GCST004575	phenotype	opengwas	EUR	2087	2	acute insulin response measurement	""	TRUE
