"id","trait","note"
"UKB-b-10783","Illnesses of siblings: None of the above (group 2)","20111#101: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-10787","Standing height","50: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-10797","Chest pain due to walking ceases when standing still","3616: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-10807","Illnesses of mother: Severe depression","20110#12: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-10810","Operative procedures - main OPCS: S06.5 Excision of lesion of skin of head or neck NEC","41200#S065: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-10813","Operative procedures - main OPCS: X55.8 Other specified other operations on unspecified organ","41200#X558: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-10817","Particulate matter air pollution (pm2.5); 2010","24006: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-10821","External causes: W01.9 Unspecified place","41201#W019: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-10827","Operation code: lumpectomy","20004#1369: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-10830","Average monthly spirits intake","4440: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-10831","Pack years of smoking","20161: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-10847","Operative procedures - secondary OPCS: Y53.5 Approach to organ under image intensifier","41210#Y535: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-10848","Operative procedures - secondary OPCS: Z80.1 First metatarsal","41210#Z801: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-10849","Diagnoses - main ICD10: N93.9 Abnormal uterine and vaginal bleeding, unspecified","41202#N939: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-10852","Was blood sampling attempted","35: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-10857","Willing to attempt cognitive tests","62: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-10859","Diagnoses - main ICD10: K57.3 Diverticular disease of large intestine without perforation or abscess","41202#K573: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-10873","Diagnoses - main ICD10: M54.59 Low back pain (Site unspecified)","41202#M5459: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-10880","Diagnoses - secondary ICD10: Z87.4 Personal history of diseases of the genito-urinary system","41204#Z874: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
